  TIME  YEAR    UNIT    PLANTNM    YIELD
     1     2       1    agrl         1255.196
     1     2       1    agrl            0.000
     1     2       1    agrl            0.000
     1     2       2    agrl         1226.992
     1     2       2    agrl            0.000
     1     2       2    agrl            0.000
     1     2       3    agrl         1002.528
     1     2       3    agrl            0.000
     1     2       3    agrl            0.000
     1     2       4    agrl          799.547
     1     2       4    agrl            0.000
     1     2       4    agrl            0.000
     1     2       5    agrl         1156.838
     1     2       5    agrl            0.000
     1     2       5    agrl            0.000
     1     2       6    agrl         1190.019
     1     2       6    agrl            0.000
     1     2       6    agrl            0.000
     1     2       7    agrl          999.859
     1     2       7    agrl            0.000
     1     2       7    agrl            0.000
     1     2       8    agrl         4012.368
     1     2       9    agrl         4013.139
     1     2      10    agrl         4014.036
     1     2      11    agrl         4014.400
     1     2      12    agrl         4011.737
     1     2      13    agrl         1167.411
     1     2      14    agrl         1078.116
     1     2      15    agrl         1153.623
     1     2      16    agrl         1269.545
     1     2      17    agrl         1244.251
     1     2      18    agrl         1157.019
     1     2      19    agrl         1139.221
     1     2      20    agrl         4495.090
     1     2      21    agrl         4551.321
     1     2      22    agrl         4392.383
     1     2      23    agrl         4460.486
     1     2      24    agrl         4476.220
     1     2      25    agrl         4381.468
     1     2      26    agrl         4396.604
     1     2      27    agrl         1167.130
     1     2      28    agrl         1078.011
     1     2      29    agrl         1267.399
     1     2      30    agrl         1137.932
     1     2      31    agrl         4999.986
     1     2      32    agrl         4869.674
     1     2      33    agrl         4920.881
     1     2      34    agrl         4850.950
     1     2      35    agrl          996.980
     1     2      35    agrl            0.000
     1     2      35    agrl            0.000
     1     2      36    agrl         1026.869
     1     2      36    agrl            0.000
     1     2      36    agrl            0.000
     1     2      37    agrl         4014.059
     1     2      38    agrl         4011.756
     1     2      39    agrl         1167.376
     1     2      40    agrl         1078.133
     1     2      41    agrl         1154.598
     1     2      42    agrl         1269.769
     1     2      43    agrl         1244.216
     1     2      44    agrl         1139.126
     1     2      45    agrl         4462.117
     1     2      46    agrl         1137.405
     1     2      47    agrl         4849.709
     1     2      48    agrl         1042.105
     1     2      48    agrl            0.000
     1     2      48    agrl            0.000
     1     2      49    agrl          801.859
     1     2      49    agrl            0.000
     1     2      49    agrl            0.000
     1     2      50    agrl         1028.187
     1     2      50    agrl            0.000
     1     2      50    agrl            0.000
     1     2      51    agrl         1019.356
     1     2      51    agrl            0.000
     1     2      51    agrl            0.000
     1     2      52    agrl          800.335
     1     2      52    agrl            0.000
     1     2      52    agrl            0.000
     1     2      53    agrl          801.393
     1     2      53    agrl            0.000
     1     2      53    agrl            0.000
     1     2      54    agrl         4012.354
     1     2      55    agrl         4014.048
     1     2      56    agrl         4014.375
     1     2      57    agrl         4011.714
     1     2      58    agrl         1167.127
     1     2      59    agrl         1077.862
     1     2      60    agrl         1152.942
     1     2      61    agrl         1269.883
     1     2      62    agrl         1244.243
     1     2      63    agrl         1157.404
     1     2      64    agrl         1138.967
     1     2      65    agrl         4496.005
     1     2      66    agrl         4551.228
     1     2      67    agrl         4390.684
     1     2      68    agrl         4461.471
     1     2      69    agrl         4476.819
     1     2      70    agrl         4381.853
     1     2      71    agrl         4400.700
     1     2      72    agrl         1166.976
     1     2      73    agrl         1077.848
     1     2      74    agrl         1152.701
     1     2      75    agrl         1268.038
     1     2      76    agrl         1243.682
     1     2      77    agrl         1157.773
     1     2      78    agrl         1138.428
     1     2      79    agrl           68.491
     1     2      80    agrl         4958.661
     1     2      81    agrl         4921.364
     1     2      82    agrl         4928.815
     1     2      83    agrl         4836.767
     1     2      84    agrl          997.046
     1     2      84    agrl            0.000
     1     2      84    agrl            0.000
     1     2      85    agrl         1189.540
     1     2      85    agrl            0.000
     1     2      85    agrl            0.000
     1     2      86    agrl         1028.644
     1     2      86    agrl            0.000
     1     2      86    agrl            0.000
     1     2      87    agrl          805.508
     1     2      87    agrl            0.000
     1     2      87    agrl            0.000
     1     2      88    agrl         1002.189
     1     2      88    agrl            0.000
     1     2      88    agrl            0.000
     1     2      89    agrl         4012.365
     1     2      90    agrl         4013.087
     1     2      91    agrl         4011.817
     1     2      92    agrl         4014.090
     1     2      93    agrl         4014.375
     1     2      94    agrl         4011.727
     1     2      95    agrl         4012.659
     1     2      96    agrl         1137.106
     1     2      97    agrl         4389.208
     1     2      98    agrl         4399.737
     1     2      99    agrl         1166.970
     1     2     100    agrl         1077.852
     1     2     101    agrl         1153.722
     1     2     102    agrl         1243.926
     1     2     103    agrl         1138.520
     1     2     104    agrl         1076.698
     1     2     105    agrl           68.496
     1     2     106    agrl         4958.454
     1     2     107    agrl         4928.509
     1     2     108    agrl         4850.737
     1     2     109    agrl         1036.979
     1     2     109    agrl            0.000
     1     2     109    agrl            0.000
     1     2     110    agrl          799.567
     1     2     110    agrl            0.000
     1     2     110    agrl            0.000
     1     2     111    agrl         1053.319
     1     2     111    agrl            0.000
     1     2     111    agrl            0.000
     1     2     112    agrl         1156.999
     1     2     112    agrl            0.000
     1     2     112    agrl            0.000
     1     2     113    agrl         1040.532
     1     2     113    agrl            0.000
     1     2     113    agrl            0.000
     1     2     114    agrl         1040.304
     1     2     114    agrl            0.000
     1     2     114    agrl            0.000
     1     2     115    agrl         4014.075
     1     2     116    agrl         4012.009
     1     2     117    agrl         4011.660
     1     2     118    agrl         4011.714
     1     2     119    agrl         1155.454
     1     2     120    agrl         1269.703
     1     2     121    agrl         1109.363
     1     2     122    agrl         1244.010
     1     2     123    agrl         1139.388
     1     2     124    agrl         4390.067
     1     2     125    agrl         4461.796
     1     2     126    agrl         4508.476
     1     2     127    agrl         4476.889
     1     2     128    agrl         4398.271
     1     2     129    agrl         1077.646
     1     2     130    agrl         1156.727
     1     2     131    agrl         1268.263
     1     2     132    agrl         1109.450
     1     2     133    agrl         1242.490
     1     2     134    agrl         1158.084
     1     2     135    agrl         1138.796
     1     2     136    agrl           68.497
     1     2     137    agrl         4920.997
     1     2     138    agrl         4967.445
     1     2     139    agrl         4928.999
     1     2     140    agrl         4849.846
     1     2     141    agrl          805.048
     1     2     141    agrl            0.000
     1     2     141    agrl            0.000
     1     2     142    agrl         1032.515
     1     2     142    agrl            0.000
     1     2     142    agrl            0.000
     1     2     143    agrl         1002.562
     1     2     143    agrl            0.000
     1     2     143    agrl            0.000
     1     2     144    agrl          799.564
     1     2     144    agrl            0.000
     1     2     144    agrl            0.000
     1     2     145    agrl         1018.949
     1     2     145    agrl            0.000
     1     2     145    agrl            0.000
     1     2     146    agrl          971.808
     1     2     146    agrl            0.000
     1     2     146    agrl            0.000
     1     2     147    agrl          800.346
     1     2     147    agrl            0.000
     1     2     147    agrl            0.000
     1     2     148    agrl         1001.099
     1     2     148    agrl            0.000
     1     2     148    agrl            0.000
     1     2     149    agrl         4012.304
     1     2     150    agrl         4013.064
     1     2     151    agrl         4011.546
     1     2     152    agrl         4014.049
     1     2     153    agrl         4014.375
     1     2     154    agrl         4011.696
     1     2     155    agrl         1167.083
     1     2     156    agrl         1078.033
     1     2     157    agrl         1155.863
     1     2     158    agrl         1269.136
     1     2     159    agrl         1109.621
     1     2     160    agrl         1244.565
     1     2     161    agrl         1140.702
     1     2     162    agrl         4551.144
     1     2     163    agrl         4385.605
     1     2     164    agrl         4460.433
     1     2     165    agrl         4476.329
     1     2     166    agrl         4397.013
     1     2     167    agrl         1167.114
     1     2     168    agrl         1078.000
     1     2     169    agrl         1153.943
     1     2     170    agrl         1269.017
     1     2     171    agrl         1244.604
     1     2     172    agrl         1138.687
     1     2     173    agrl           68.495
     1     2     174    agrl         4958.493
     1     2     175    agrl         4999.859
     1     2     176    agrl         4921.598
     1     2     177    agrl         4927.029
     1     2     178    agrl         4846.511
     1     2     179    agrl          997.040
     1     2     179    agrl            0.000
     1     2     179    agrl            0.000
     1     2     180    agrl         1189.586
     1     2     180    agrl            0.000
     1     2     180    agrl            0.000
     1     2     181    agrl         1137.474
     1     2     181    agrl            0.000
     1     2     181    agrl            0.000
     1     2     182    agrl         1019.487
     1     2     182    agrl            0.000
     1     2     182    agrl            0.000
     1     2     183    agrl         1001.301
