  TIME  YEAR    UNIT    PLANTNM    YIELD
     1     2       1    agrl          166.675
     1     2       2    agrl          202.964
     1     2       3    agrl          170.938
     1     2       4    agrl          174.240
     1     2       5    agrl          161.873
     1     2       6    agrl          192.550
     1     2       7    agrl          205.775
     1     2       8    agrl          173.124
     1     2       9    agrl          193.763
     1     2      10    agrl          163.567
     1     2      11    agrl          198.988
     1     2      12    agrl          164.553
     1     2      13    agrl          183.896
     1     2      14    agrl          192.523
     1     2      15    agrl          164.611
     1     2      16    agrl          170.985
     1     2      17    agrl          176.046
     1     2      18    agrl          178.178
     1     2      19    agrl          208.641
     1     2      20    agrl          186.355
     1     2      21    agrl          149.596
     1     2      29    agrl          156.020
     1     2      30    agrl          174.230
     1     2      31    agrl          198.999
     1     2      32    agrl          174.233
     1     2      33    agrl          156.074
     1     2      34    agrl          160.315
     1     2      35    agrl          167.749
     1     2      36    agrl          177.107
     1     2      37    agrl          181.591
     1     2      38    agrl          202.943
     1     2      39    agrl          190.059
     1     2      43    agrl          175.160
     1     2      44    agrl          174.310
     1     2      45    agrl          176.062
     1     2      46    agrl          172.132
     1     2      47    agrl          178.250
     1     2      48    agrl          186.395
     1     2      49    agrl          173.215
     1     2      50    agrl          177.135
     1     2      51    agrl          211.708
     1     2      52    agrl          196.459
     1     2      53    agrl          179.376
     1     2      54    agrl          163.621
     1     2      55    agrl          190.098
     1     2      56    agrl          191.357
     1     2      57    agrl          190.102
     1     2      58    agrl          171.071
     1     2      59    agrl          168.883
     1     2      60    agrl          195.130
     1     2      61    agrl          187.610
     1     2      62    agrl          172.139
     1     2      63    agrl          160.338
     1     2      70    agrl          163.656
     1     2      71    agrl          171.111
     1     2      72    agrl          183.978
     1     2      73    agrl          175.174
     1     2      74    agrl          193.834
     1     2      75    agrl          186.457
     1     2      76    agrl          193.951
     1     2      77    agrl          201.726
     1     2      78    agrl          191.318
     1     2      79    agrl          175.170
     1     2      80    agrl          186.444
     1     2      81    agrl          201.629
     1     2      82    agrl          204.411
     1     2      83    agrl          163.652
     1     2      84    agrl          185.223
     1     2      85    agrl          190.134
     1     2      86    agrl          174.319
     1     2      87    agrl          184.026
     1     2      88    agrl          205.847
     1     2      89    agrl          192.614
     1     2      90    agrl          168.935
     1     2      91    agrl          193.903
     1     2      98    agrl          173.181
     1     2      99    agrl          160.312
     1     2     100    agrl          161.144
     1     2     101    agrl          144.467
     1     2     102    agrl          155.125
     1     2     103    agrl          148.817
