recmon.dat
   2
IYR    ISTEP        NAME      temp    flo     sed     orgn    sedp    no3     solp    psol    psor    chla    nh3     no2     cbod    dox     bacp    bacpl   met1    met2    met3    san     sil     cla     sag     lag     grv
1988    1       recmon_1         9       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1988    2       recmon_2        10       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1988    3       recmon_3        11       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1988    4       recmon_4        12       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1988    5       recmon_5        13       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1988    6       recmon_6         9       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1988    7       recmon_7        10       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1988    8       recmon_8        11       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1988    9       recmon_9        12       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1988    10      recmon_10       13       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1988    11      recmon_11        9       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1988    12      recmon_12       10       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1989    1       recmon_13       11       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1989    2       recmon_14       12       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1989    3       recmon_15       13       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1989    4       recmon_16        9       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1989    5       recmon_17       10       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1989    6       recmon_18       11       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1989    7       recmon_19       12       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1989    8       recmon_20       13       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1989    9       recmon_21        9       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1989    10      recmon_22       10       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1989    11      recmon_23       11       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
1989    12      recmon_24       12       8       7       6       5       4       3       2       1       0       1       2       3       4       5       5       6       6       6       1       1       1       1       1       1
