        jday         mon         day          yr name          type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           temp
           1           1           1        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
           2           1           2        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
           3           1           3        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
           4           1           4        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
           5           1           5        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
           6           1           6        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
           7           1           7        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
           8           1           8        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
           9           1           9        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          10           1          10        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          11           1          11        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
